"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-5431.conditionType";"session.node-9724.blockOrder";"session.node-9724.IATorder";"session.node-9724.keyOrder";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"36";"35";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:06:04.880";"17";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:06:03.630";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"37";"36";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:06:07.380";"8";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:06:06.130";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"38";"37";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:06:09.895";"10";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:06:08.645";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"39";"38";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:06:12.395";"35";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:06:11.145";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"40";"39";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:06:14.895";"25";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:06:13.645";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"41";"40";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:06:17.395";"4";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:06:16.145";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"42";"41";"module.training_block1.exec-4911.GoNoGo1";"1248";"2013-11-25 13:06:19.895";"34";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:06:18.645";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"43";"42";"module.training_block1.exec-4911.GoNoGo1";"1248";"2013-11-25 13:06:22.395";"14";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:06:21.145";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"44";"43";"module.training_block1.exec-4911.GoNoGo1";"1246";"2013-11-25 13:06:24.895";"1";"0";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:06:23.645";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unicomp_firefox";;;"Windows XP";"Rachels Experiment";"1.0";"1";"1";"1";"1";"1";"1";"2013-11-25 13:04:07.099";"2013-11-25 13:07:48.786";"1";"0";"1";"0";"0";"45";"44";"module.training_block1.exec-4911.GoNoGo1";"1248";"2013-11-25 13:06:27.395";"26";"1";"FINISHED";"NONE";"failure";"0";"0";"2013-11-25 13:06:26.145";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
