"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-7084.blockOrder";"session.node-7084.IATorder";"session.node-7084.keyOrder";"session.node-7320.conditionType";"session.node-7865.blockOrder";"session.node-7865.IATorder";"session.node-7865.keyOrder";"session.node-7868.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"21";"20";"module.training_block1.exec-4565.GoNoGo1";"1249";"2014-02-22 09:20:08.970";"20";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:07.720";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"22";"21";"module.training_block1.exec-4565.GoNoGo1";"1250";"2014-02-22 09:20:11.501";"13";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:10.251";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"23";"22";"module.training_block1.exec-4565.GoNoGo1";"1249";"2014-02-22 09:20:14.079";"10";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:12.829";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"24";"23";"module.training_block1.exec-4565.GoNoGo1";"1250";"2014-02-22 09:20:16.626";"31";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:15.376";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"25";"24";"module.training_block1.exec-4565.GoNoGo1";"1249";"2014-02-22 09:20:19.192";"0";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:17.941";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"26";"25";"module.training_block1.exec-4565.GoNoGo1";"1249";"2014-02-22 09:20:21.738";"14";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:20.488";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"27";"26";"module.training_block1.exec-4565.GoNoGo1";"1251";"2014-02-22 09:20:24.268";"34";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:23.017";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"28";"27";"module.training_block1.exec-4565.GoNoGo1";"1250";"2014-02-22 09:20:26.805";"22";"0";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:25.555";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"29";"28";"module.training_block1.exec-4565.GoNoGo1";"1250";"2014-02-22 09:20:29.358";"28";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:28.108";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"test_yr2prac";;;"Windows 7";"Rachels Experiment";"1.0";"1";"1";"1";"1";"2";"2";"2014-02-22 09:18:27.449";"2014-02-22 09:23:12.080";"1";"1";"0";"1";;;;;"0";"30";"29";"module.training_block1.exec-4565.GoNoGo1";"1250";"2014-02-22 09:20:31.894";"9";"1";"FINISHED";"NONE";"failure";"0";"0";"2014-02-22 09:20:30.644";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
