"user.name";"user.yearOfBirth";"user.sex";"user.osName";"module.name";"module.version";"module.online.subject.code";"module.online.study.id";"module.online.module.nr";"module.online.group.nr";"session.id";"session.index";"session.startTime";"session.endTime";"session.completed";"session.node-6799.DevalQorder";"session.node-8525.conditionType";"trial.id";"trial.index";"trial.name";"trial.GoNoGo1.durationTime";"trial.GoNoGo1.endTime";"trial.GoNoGo1.Error Type";"trial.GoNoGo1.icon";"trial.GoNoGo1.location";"trial.GoNoGo1.outcome";"trial.GoNoGo1.response";"trial.GoNoGo1.result";"trial.GoNoGo1.RT";"trial.GoNoGo1.signal";"trial.GoNoGo1.startTime";"trial.GoNoGo1.stimulus type";"trial.GoNoGo2.durationTime";"trial.GoNoGo2.endTime";"trial.GoNoGo2.Error Type";"trial.GoNoGo2.icon";"trial.GoNoGo2.location";"trial.GoNoGo2.outcome";"trial.GoNoGo2.response";"trial.GoNoGo2.result";"trial.GoNoGo2.RT";"trial.GoNoGo2.signal";"trial.GoNoGo2.startTime";"trial.GoNoGo2.stimulus type";"trial.GoNoGo3.durationTime";"trial.GoNoGo3.endTime";"trial.GoNoGo3.Error Type";"trial.GoNoGo3.icon";"trial.GoNoGo3.location";"trial.GoNoGo3.outcome";"trial.GoNoGo3.response";"trial.GoNoGo3.result";"trial.GoNoGo3.RT";"trial.GoNoGo3.signal";"trial.GoNoGo3.startTime";"trial.GoNoGo3.stimulus type";"trial.GoNoGo_Practice.durationTime";"trial.GoNoGo_Practice.endTime";"trial.GoNoGo_Practice.icon";"trial.GoNoGo_Practice.location";"trial.GoNoGo_Practice.outcome";"trial.GoNoGo_Practice.response";"trial.GoNoGo_Practice.result";"trial.GoNoGo_Practice.RT";"trial.GoNoGo_Practice.signal";"trial.GoNoGo_Practice.startTime";"trial.GoNoGo_Practice.stimulus type";"trial.GoNoGo_Tutorial.durationTime";"trial.GoNoGo_Tutorial.endTime";"trial.GoNoGo_Tutorial.icon";"trial.GoNoGo_Tutorial.location";"trial.GoNoGo_Tutorial.outcome";"trial.GoNoGo_Tutorial.response";"trial.GoNoGo_Tutorial.result";"trial.GoNoGo_Tutorial.RT";"trial.GoNoGo_Tutorial.signal";"trial.GoNoGo_Tutorial.startTime"
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"81";"80";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:53:21.351";"ST_correctStop";"20";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:53:20.101";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"82";"81";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:53:23.888";"NST_correctLoc";"9";"0";"FINISHED";"LEFT";"success";"550";"0";"2014-10-16 12:53:22.638";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"83";"82";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:53:26.423";"ST_correctStop";"23";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:53:25.172";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"84";"83";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:53:28.959";"ST_correctStop";"2";"0";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:53:27.709";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"85";"84";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1250";"2014-10-16 12:53:31.503";"ST_correctStop";"35";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:53:30.252";"3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"86";"85";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:53:34.038";"NST_correctLoc";"13";"1";"FINISHED";"RIGHT";"success";"560";"0";"2014-10-16 12:53:32.788";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"87";"86";"module.training_block2.exec-2916.GoNoGo2";;;;;;;;;;;;;"1249";"2014-10-16 12:53:36.572";"ST_correctStop";"4";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:53:35.322";"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"88";"87";"module.training_block3.exec-4430.GoNoGo3";;;;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-10-16 12:53:46.923";"NST_correctLoc";"27";"1";"FINISHED";"RIGHT";"success";"747";"0";"2014-10-16 12:53:45.673";"3";;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"89";"88";"module.training_block3.exec-4430.GoNoGo3";;;;;;;;;;;;;;;;;;;;;;;;;"1250";"2014-10-16 12:53:49.462";"NST_correctLoc";"14";"0";"FINISHED";"LEFT";"success";"814";"0";"2014-10-16 12:53:48.211";"2";;;;;;;;;;;;;;;;;;;;;
"alf1601";"1996";;"Windows 8";"Rachel's Experiment (D.T.)";"1.0";"2";"1";"1";"2";"1";"1";"2014-10-16 12:48:06.167";"";"0";"0";"1";"90";"89";"module.training_block3.exec-4430.GoNoGo3";;;;;;;;;;;;;;;;;;;;;;;;;"1249";"2014-10-16 12:53:51.998";"ST_correctStop";"0";"1";"FINISHED";"NONE";"success";"0";"1";"2014-10-16 12:53:50.747";"1";;;;;;;;;;;;;;;;;;;;;
